fid,samp,mass,vv,tlh,tdh,trh,t2,tmax,intertidal,replicate,mod,hi,NJ,m,year,,,,,
157,27,0.1,3,3,3,0,1,0,1,3,1,0,0,1,2015,,,,,
158,27,0.01,3,3,3,0,1,0,1,3,1,0,0,1,2015,,,,,
159,27,0.001,3,3,2,0,1,0,1,3,1,0,0,1,2015,,,,,
160,27,0.0001,3,3,0,0,1,0,1,3,1,0,0,1,2015,,,,,
161,27,0.00001,2,1,0,0,1,0,1,3,1,0,0,1,2015,,,,,
162,27,0.000001,NA,NA,NA,NA,1,0,1,3,1,0,0,1,2015,,,,,
163,28,0.1,3,3,3,0,1,0,1,4,1,0,0,1,2015,,,,,
164,28,0.01,3,3,3,0,1,0,1,4,1,0,0,1,2015,,,,,
165,28,0.001,3,3,0,0,1,0,1,4,1,0,0,1,2015,,,,,
166,28,0.0001,0,3,0,0,1,0,1,4,1,0,0,1,2015,,,,,
167,28,0.00001,1,1,0,0,1,0,1,4,1,0,0,1,2015,,,,,
168,28,0.000001,NA,NA,NA,NA,1,0,1,4,1,0,0,1,2015,,,,,
169,29,0.1,3,3,0,0,1,0,0,1,1,0,0,1,2015,,,,,
170,29,0.01,3,3,0,1,1,0,0,1,1,0,0,1,2015,,,,,
171,29,0.001,3,3,0,0,1,0,0,1,1,0,0,1,2015,,,,,
172,29,0.0001,2,0,0,0,1,0,0,1,1,0,0,1,2015,,,,,
173,29,0.00001,1,0,0,0,1,0,0,1,1,0,0,1,2015,,,,,
174,29,0.000001,NA,NA,NA,NA,1,0,0,1,1,0,0,1,2015,,,,,
175,30,0.1,3,3,1,1,1,0,0,2,1,0,0,1,2015,,,,,
176,30,0.01,3,3,1,2,1,0,0,2,1,0,0,1,2015,,,,,
177,30,0.001,3,3,0,0,1,0,0,2,1,0,0,1,2015,,,,,
178,30,0.0001,2,2,0,0,1,0,0,2,1,0,0,1,2015,,,,,
179,30,0.00001,2,2,1,0,1,0,0,2,1,0,0,1,2015,,,,,
180,30,0.000001,NA,NA,NA,NA,1,0,0,2,1,0,0,1,2015,,,,,
181,31,0.1,3,3,3,2,1,0,0,3,1,0,0,1,2015,,,,,
182,31,0.01,3,3,3,0,1,0,0,3,1,0,0,1,2015,,,,,
183,31,0.001,0,2,1,0,1,0,0,3,1,0,0,1,2015,,,,,
184,31,0.0001,0,0,0,0,1,0,0,3,1,0,0,1,2015,,,,,
185,31,0.00001,0,0,0,0,1,0,0,3,1,0,0,1,2015,,,,,
186,31,0.000001,NA,NA,NA,NA,1,0,0,3,1,0,0,1,2015,,,,,
187,32,0.1,3,3,1,1,1,0,0,4,1,0,0,1,2015,,,,,
188,32,0.01,3,3,1,2,1,0,0,4,1,0,0,1,2015,,,,,
189,32,0.001,3,3,0,0,1,0,0,4,1,0,0,1,2015,,,,,
190,32,0.0001,2,2,0,0,1,0,0,4,1,0,0,1,2015,,,,,
191,32,0.00001,2,2,0,0,1,0,0,4,1,0,0,1,2015,,,,,
192,32,0.000001,NA,NA,NA,NA,1,0,0,4,1,0,0,1,2015,,,,,
193,33,0.1,0,3,0,0,0,0,1,1,0,1,0,1,2015,,,,,
194,33,0.01,0,1,0,0,0,0,1,1,0,1,0,1,2015,,,,,
195,33,0.001,0,2,0,0,0,0,1,1,0,1,0,1,2015,,,,,
196,33,0.0001,0,0,0,0,0,0,1,1,0,1,0,1,2015,,,,,
197,33,0.00001,NA,NA,NA,NA,0,0,1,1,0,1,0,1,2015,,,,,
198,33,0.000001,NA,NA,NA,NA,0,0,1,1,0,1,0,1,2015,,,,,
199,34,0.1,0,3,1,0,0,0,1,2,0,1,0,1,2015,,,,,
200,34,0.01,0,1,0,0,0,0,1,2,0,1,0,1,2015,,,,,
201,34,0.001,0,0,0,0,0,0,1,2,0,1,0,1,2015,,,,,
202,34,0.0001,0,0,0,0,0,0,1,2,0,1,0,1,2015,,,,,
203,34,0.00001,NA,NA,NA,NA,0,0,1,2,0,1,0,1,2015,,,,,
204,34,0.000001,NA,NA,NA,NA,0,0,1,2,0,1,0,1,2015,,,,,
205,35,0.1,0,2,0,0,0,0,1,3,0,1,0,1,2015,,,,,
206,35,0.01,0,1,0,0,0,0,1,3,0,1,0,1,2015,,,,,
207,35,0.001,0,0,0,0,0,0,1,3,0,1,0,1,2015,,,,,
208,35,0.0001,NA,NA,NA,NA,0,0,1,3,0,1,0,1,2015,,,,,
209,35,0.00001,NA,NA,NA,NA,0,0,1,3,0,1,0,1,2015,,,,,
210,35,0.000001,NA,NA,NA,NA,0,0,1,3,0,1,0,1,2015,,,,,
211,36,0.1,0,2,0,0,0,0,1,4,0,1,0,1,2015,,,,,
212,36,0.01,0,0,0,0,0,0,1,4,0,1,0,1,2015,,,,,
213,36,0.001,0,0,0,0,0,0,1,4,0,1,0,1,2015,,,,,
214,36,0.0001,NA,NA,NA,NA,0,0,1,4,0,1,0,1,2015,,,,,
215,36,0.00001,NA,NA,NA,NA,0,0,1,4,0,1,0,1,2015,,,,,
216,36,0.000001,NA,NA,NA,NA,0,0,1,4,0,1,0,1,2015,,,,,
217,37,0.1,0,3,1,1,0,0,0,1,0,1,0,1,2015,,,,,
218,37,0.01,0,1,0,0,0,0,0,1,0,1,0,1,2015,,,,,
219,37,0.001,0,0,0,0,0,0,0,1,0,1,0,1,2015,,,,,
220,37,0.0001,NA,NA,NA,NA,0,0,0,1,0,1,0,1,2015,,,,,
221,37,0.00001,NA,NA,NA,NA,0,0,0,1,0,1,0,1,2015,,,,,
222,37,0.000001,NA,NA,NA,NA,0,0,0,1,0,1,0,1,2015,,,,,
223,38,0.1,0,3,0,0,0,0,0,2,0,1,0,1,2015,,,,,
224,38,0.01,0,3,0,0,0,0,0,2,0,1,0,1,2015,,,,,
225,38,0.001,0,2,1,0,0,0,0,2,0,1,0,1,2015,,,,,
226,38,0.0001,0,0,0,0,0,0,0,2,0,1,0,1,2015,,,,,
227,38,0.00001,NA,NA,NA,NA,0,0,0,2,0,1,0,1,2015,,,,,
